id,question,ground_truth
28,"What to do for ""Bad Gateway 502"" WBM error?","A ""Bad Gateway 502"" error message on the Web Based Management (WBM) typically indicates that the **PLCnext system firmware has not started up properly**. The recommended solution is to **restart the controller** via SSH, reboot via SSH, or perform a power reset."
29,Can I use Axioline Smart Elements in an Axioline F station?,"Yes, you can integrate **Axioline Smart Elements** into an Axioline F station by means of an **Axioline F backplane**. The backplane accommodates either four or six Axioline Smart Elements, depending on its version."
30,What are the ambient temperature limits for Inline terminals?,"Standard Inline terminals operate in an **ambient temperature range of -25°C to +55°C**. However, **XC versions** are designed for extended conditions, supporting **-40°C to +70°C**. Inline **ECO versions** have a limited operating temperature range of **0°C to +55°C**."
31,What happens if I downgrade firmware from 2025.0.2?,"If you downgrade firmware from version 2025.0.2 (or newer) to version 2024.6 (or older), the **IP configuration may change** due to the Linux init system changing from SysV to systemd. Additionally, any system watchdog configuration set with firmware 2025.0 or newer will be **reset to default** (PLC remains in PlcState::Stop)."
32,How to create C# function blocks for PLCnext Technology?,"To create C# function blocks for PLCnext Technology, you use **Visual Studio** with the **eCLR template 'Firmware Library'**. You then add a new item, selecting 'Function Block' or 'Function' from the 'Visual C# Items, eCLR' list. The project is compiled, generating a `.pcwlx` library."
33,How do I define a GDS port for local bus process data?,"For local bus process data, define the GDS port by entering the **name of the local bus controller** as the port, followed by the **module position** and the **process data name**. The format is `Local bus controller/module position:process data name`, for example: `Arp.Io.FbIo.AxlC/0:~DO8`."
34,Where can I find known limitations and errors for AXC F 2152?,Known limitations and errors for the AXC F 2152 controller are documented in the **PLCnext Info Center**. This information can be found at the constantly updated overview provided at **https://www.plcnext.help/te/Known_issues.htm**.
35,What transmit FIFO size for AXL SE RS485 EF transparent protocol?,"For the AXL SE RS485 EF in transparent protocol mode, the **transmit FIFO (first-in, first-out memory) can store 1023 bytes (1 kB)**. The receive FIFO for this protocol can store 4096 bytes (4 kB)."
36,How do I read counters for AXL SE RS485 EF interface diagnostics?,"To read various counters for AXL SE RS485 EF interface diagnostics, you use the **'Read counters' command** by setting **OUT Word 0 to 3E00hex**. The response in the IN words will provide information such as the number of valid/invalid characters received, characters transmitted, unicast/broadcast telegrams, errors, timeouts, and checksum errors."
37,What if an Inline AI terminal detects a wire break?,"If an Inline Analog Input (AI) terminal, such as the IB IL AI 2/SF-PAC, detects a wire break, the input signal will typically **go to 0 V, 0 mA, or 4 mA**. For the 4 mA to 20 mA measuring range, a specific **wire-break message will appear in the process data** when the current is below 3.2 mA."
38,What left-alignable modules are available for AXC F 2152?,"Currently available left-alignable extension modules for the AXC F 2152 include the **AXC F XT ETH 1TX (Ethernet interface)**, **AXC F XT IB (INTERBUS master)**, **AXC F XT EXP (PCIe extension interface)**, **AXC F XT PB (PROFIBUS master)**, and **AXC F XT SPLC 1000 (safety-related controller)**, as well as the **AXC F XT ML 1000 (machine learning function)**. The AXC F XT SPLC 3000 is also in preparation."
39,What is the 'system monitor' component?,"A new firmware component called **'system monitor'** has been implemented to **monitor RAM and CPU load** on the AXC F 2152. If certain load levels are exceeded, it emits notifications, and upon further exceedance, the **'system watchdog' component is informed and activated**."
40,Are older OpenSSH SHA1 algorithms supported?,"As part of the OpenSSH update from version ""8.4p.1"" to ""8.8p1"" (or newer), the **SHA1 DHE KEX algorithm will be disabled in a future firmware release**."
41,Where are diagnostic messages for PLCnext Technology stored?,"Diagnostic log files, including status information, warnings, error messages, and debugging messages, are stored in the **`Output.log` file**. This file can be found in the **`/opt/plcnext/logs` folder** on the controller's file system, which can be accessed via the SFTP protocol."
42,What is the purpose of the ResetDiag object?,"The **`ResetDiag` object (0019hex)** is a standard PDI object used to **specify how a Smart Element should handle diagnostic messages**. It allows users to permit all diagnostic messages, delete and acknowledge pending messages, or delete, acknowledge, and prohibit new diagnostic messages."
43,How has the DataLogger been improved in firmware 2021.6?,"In firmware 2021.6, the **DataLogger has been extended to allow specifying the name of an ESM task**. This ensures that the values of all configured variables are sampled within that specific task, applying to resource-global variables, component ports, and variables instantiated within a program associated with any ESM task."
44,What are the dimensions and weight of IB IL AI 2/SF-PAC?,"The IB IL AI 2/SF-PAC terminal has dimensions of **12.2 mm width, 136.8 mm height, and 71.5 mm depth**. It has a weight of **69 g (with connector)**."
45,What happens to HMI pages during program downloads?,"During a PLCnext Engineer program download (both total and changes), the **web server returns an error 503 (busy)** for requests to the HMI pages. This is a known limitation."
46,What software is needed for MATLAB Simulink with PLCnext?,"To use MATLAB Simulink for model-based development with PLCnext Technology, you need the **""PC Worx Target for Simulink"" software add-on**. This add-on enables the conversion of Simulink models into PLCnext compatible code."
47,What is the maximum number of devices in an Axioline F station?,"An Axioline F station supports a **maximum of 63 devices**. Each Axioline F module and Axioline Smart Element counts as a device, and the total current consumption and bus coupler/controller limits must be considered."
48,What are the retain data limitations for time-critical applications?,Using the **maximum quantity structures of retain data can increase the task duration** of the consuming task. This might potentially **trigger a task watchdog** for time-critical applications.
49,How many process data words does IB IL SGI 2/F occupy?,"The IB IL SGI 2/F(-2MBD)-PAC terminal **occupies three process data words** and one PCP word. Output word OUT0 contains the command, and OUT1/OUT2 contain parameters for channels."
